$$AttributeCategory.Name$AttributeDefinition.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,Id
Cables;Connector Type,Cables,0v33y0000004C93AAE,Connector Type,0tj3y000000KynOAAS,11E3y0000004C93EAE
Cables;Length,Cables,0v33y0000004C93AAE,Length,0tj3y000000KynJAAS,11E3y0000004C94EAE
API Specification;API_Type,API Specification,0v33y000000CaSKAA0,API_Type,0tj3y000000blSnAAI,11E3y000000CaSUEA0
Tech Specs;Base Core Count,Tech Specs,0v33y000000CaSFAA0,Base Core Count,0tj3y000000blSmAAI,11E3y000000CaSPEA0
Operating System;Operating System,Operating System,0v33y000000CaSAAA0,Operating System,0tj3y000000blShAAI,11E3y000000CaSKEA0
Engineering_Resources;Resource_Location,Engineering_Resources,0v33y000000CaStAAK,Resource_Location,0tj3y000000blTLAAY,11E3y000000CaT3EAK
Hard_Drive;HDD_Storage,Hard_Drive,0v33y000000CaSeAAK,HDD_Storage,0tj3y000000blT2AAI,11E3y000000CaSoEAK
Processor;Processor_Frequency,Processor,0v33y000000CaSUAA0,Processor_Frequency,0tj3y000000blSwAAI,11E3y000000CaSeEAK
Network_Adapter;NIC_Type,Network_Adapter,0v33y000000CaSjAAK,NIC_Type,0tj3y000000blTBAAY,11E3y000000CaStEAK
SubscriptionType;SubscriptionType,SubscriptionType,0v33y000000CaRlAAK,SubscriptionType,0tj3y000000blRoAAI,11E3y000000CaRbEAK
QuantumBit;Flows,QuantumBit,0v33y000000CaS5AAK,Flows,0tj3y000000blSXAAY,11E3y000000CaS5EAK
QuantumBit;Data Throughput (TB),QuantumBit,0v33y000000CaS5AAK,Data Throughput (TB),0tj3y000000blSdAAI,11E3y000000CaSFEA0
QuantumBit;Messages (Million),QuantumBit,0v33y000000CaS5AAK,Messages (Million),0tj3y000000blScAAI,11E3y000000CaSAEA0
Server;Server_Configuration,Server,0v33y000000CaSPAA0,Server_Configuration,0tj3y000000blSrAAI,11E3y000000CaSZEA0
Engineering_Resources;Engineering_Options,Engineering_Resources,0v33y000000CaStAAK,Engineering_Options,0tj3y000000blTGAAY,11E3y000000CaSyEAK
Professional_Services_Bundle;Notes_and_Assumptions,Professional_Services_Bundle,0v33y000000CaSoAAK,Notes_and_Assumptions,0tj3y000000blTQAAY,11E3y000000CaT8EAK
Memory;Memory_Capacity,Memory,0v33y000000CaSZAA0,Memory_Capacity,0tj3y000000blT1AAI,11E3y000000CaSjEAK
Memory;Memory_Config,Memory,0v33y000000CaSZAA0,Memory_Config,0tj3y000000blT6AAI,11E3y000000CaSkEAK
