$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Name,ProductClassificationId,Sequence,Status
Cables;Connector Type,,,Connector Type,0tj3y000000KynOAAS,Connector Type,C13 to C14,,11C3y0000004C93EAE,false,false,false,,,,,Connector Type,Cables,11B3y0000004C98EAE,,Inactive
Cables;Length,,,Length,0tj3y000000KynJAAS,Length,3,,11C3y0000004C94EAE,false,false,false,,,,,Length,Cables,11B3y0000004C98EAE,,Active
API Type;API_Type;API Specification,API Specification,0v33y000000CaSKAA0,API_Type,0tj3y000000blSnAAI,API Type,Flex,,11C3y000000CaSZEA0,true,false,false,,,,,API Type,API Type,11B3y000000CaS5EAK,,Active
QuantumBit2;Operating System;Operating System,Operating System,0v33y000000CaSAAA0,Operating System,0tj3y000000blShAAI,Operating System,Amazon Linux 2,,11C3y000000CaSeEAK,false,false,false,,,,,Operating System,QuantumBit2,11B3y000000CaSFEA0,,Active
QuantumBit2;Base Core Count;Tech Specs,Tech Specs,0v33y000000CaSFAA0,Base Core Count,0tj3y000000blSmAAI,Base Core Count,4,,11C3y000000CaSfEAK,false,false,false,,,,,Base Core Count,QuantumBit2,11B3y000000CaSFEA0,,Active
Server;Server_Configuration;Server,Server,0v33y000000CaSPAA0,Server_Configuration,0tj3y000000blSrAAI,Server_Configuration,Security,,11C3y000000CaSyEAK,false,false,false,,,,,Server_Configuration,Server,11B3y000000CaSZEA0,,Active
Processor;Processor_Frequency;Processor,Processor,0v33y000000CaSUAA0,Processor_Frequency,0tj3y000000blSwAAI,Processor_Frequency,3.2GHz,,11C3y000000CaSjEAK,false,false,false,,,,,Processor_Frequency,Processor,11B3y000000CaSKEA0,,Active
Network_Adapter;NIC_Type;Network_Adapter,Network_Adapter,0v33y000000CaSjAAK,NIC_Type,0tj3y000000blTBAAY,NIC_Type,Direct_Attach,,11C3y000000CaSkEAK,false,false,false,,,,,NIC_Type,Network_Adapter,11B3y000000CaSQEA0,,Active
Hard_Drive;HDD_Storage;Hard_Drive,Hard_Drive,0v33y000000CaSeAAK,HDD_Storage,0tj3y000000blT2AAI,HDD_Storage,1TB,,11C3y000000CaStEAK,false,false,false,,,,,HDD_Storage,Hard_Drive,11B3y000000CaSUEA0,,Active
Memory;Memory_Config;Memory,Memory,0v33y000000CaSZAA0,Memory_Config,0tj3y000000blT6AAI,Memory_Config,Performance_Optimized,,11C3y000000CaSoEAK,false,false,false,,,,,Memory_Config,Memory,11B3y000000CaSPEA0,,Active
Memory;Memory_Capacity;Memory,Memory,0v33y000000CaSZAA0,Memory_Capacity,0tj3y000000blT1AAI,Memory_Capacity,8GB,,11C3y000000CaSpEAK,false,false,false,,,,,Memory_Capacity,Memory,11B3y000000CaSPEA0,,Active
Cables;SampleTextDefinition,,,SampleTextDefinition,0tj3y000000blNRAAY,SampleTextDefinition,,,11C3y000000CaRREA0,false,false,false,,,,,SampleTextDefinition,Cables,11B3y0000004C98EAE,,Active
QuantumBit;Flows;QuantumBit,QuantumBit,0v33y000000CaS5AAK,Flows,0tj3y000000blSXAAY,Flows,1000,,11C3y000000CaSUEA0,true,false,false,,,,,Flows,QuantumBit,11B3y000000CaS0EAK,,Active
QuantumBit;Messages (Million);QuantumBit,QuantumBit,0v33y000000CaS5AAK,Messages (Million),0tj3y000000blScAAI,Messages (Million),60,,11C3y000000CaSVEA0,true,false,false,,,,,Messages (Million),QuantumBit,11B3y000000CaS0EAK,,Active
QuantumBit;Data Throughput (TB);QuantumBit,QuantumBit,0v33y000000CaS5AAK,Data Throughput (TB),0tj3y000000blSdAAI,Data Throughput (TB),0,,11C3y000000CaSWEA0,true,false,false,,,,,Data Throughput (TB),QuantumBit,11B3y000000CaS0EAK,,Active
Subscription;SubscriptionType;SubscriptionType,SubscriptionType,0v33y000000CaRlAAK,SubscriptionType,0tj3y000000blRoAAI,SubscriptionType,Evergreen,,11C3y000000CaRlEAK,false,false,true,,,,,SubscriptionType,Subscription,11B3y000000CaRbEAK,,Active
Professional_Services_Bundle;Notes_and_Assumptions;Professional_Services_Bundle,Professional_Services_Bundle,0v33y000000CaSoAAK,Notes_and_Assumptions,0tj3y000000blTQAAY,Notes_and_Assumptions,,,11C3y000000CaT3EAK,false,false,false,,,,,Notes_and_Assumptions,Professional_Services_Bundle,11B3y000000CaSeEAK,,Active
Engineering_Resources;Resource_Location;Engineering_Resources,Engineering_Resources,0v33y000000CaStAAK,Resource_Location,0tj3y000000blTLAAY,Resource_Location,Onsite,,11C3y000000CaT8EAK,false,false,false,,,,,Resource_Location,Engineering_Resources,11B3y000000CaSfEAK,,Active
Engineering_Resources;Engineering_Options;Engineering_Resources,Engineering_Resources,0v33y000000CaStAAK,Engineering_Options,0tj3y000000blTGAAY,Engineering_Options,Extended_Care,,11C3y000000CaT9EAK,false,false,false,,,,,Engineering_Options,Engineering_Resources,11B3y000000CaSfEAK,,Active
